slide_name,class,region,segment,annotation_matrix.roi,Samplenummern,comp
No Template Control,NA,NA,NA,NA,DSP-1001250007851-H-A01.dcc,NA_NA_NA_No Template Control
disease3,DKD,glomerulus,Geometric Segment,7,DSP-1001250007851-H-A02.dcc,Geometric Segment_glomerulus_DKD_disease3
disease3,DKD,glomerulus,Geometric Segment,8,DSP-1001250007851-H-A03.dcc,Geometric Segment_glomerulus_DKD_disease3
disease3,DKD,glomerulus,Geometric Segment,9,DSP-1001250007851-H-A04.dcc,Geometric Segment_glomerulus_DKD_disease3
disease3,DKD,glomerulus,Geometric Segment,10,DSP-1001250007851-H-A05.dcc,Geometric Segment_glomerulus_DKD_disease3
disease3,DKD,glomerulus,Geometric Segment,11,DSP-1001250007851-H-A06.dcc,Geometric Segment_glomerulus_DKD_disease3
disease3,DKD,glomerulus,Geometric Segment,12,DSP-1001250007851-H-A07.dcc,Geometric Segment_glomerulus_DKD_disease3
disease3,DKD,glomerulus,Geometric Segment,13,DSP-1001250007851-H-A08.dcc,Geometric Segment_glomerulus_DKD_disease3
disease3,DKD,glomerulus,Geometric Segment,14,DSP-1001250007851-H-A09.dcc,Geometric Segment_glomerulus_DKD_disease3
disease3,DKD,glomerulus,Geometric Segment,15,DSP-1001250007851-H-A10.dcc,Geometric Segment_glomerulus_DKD_disease3
