,disease3_DKD_glomerulus_Geometric_Segment_7,disease3_DKD_glomerulus_Geometric_Segment_8,disease3_DKD_glomerulus_Geometric_Segment_9,disease4_DKD_tubule_PanCK_1,disease4_DKD_tubule_neg_1,disease4_DKD_tubule_PanCK_2
A2M,485,262,225,19,367,28
NAT2,15,18,5,16,59,9
ACADM,31,15,15,20,99,17
ACADS,27,17,24,23,127,24
ACAT1,29,24,21,51,272,58
ACVRL1,52,22,24,14,65,8
PSEN1,28,16,20,27,101,19
ADA,14,14,16,10,68,7
SGCA,28,21,20,14,74,14
ADRB2,27,19,15,11,40,9
ADRB3,17,13,8,7,41,9
AGL,17,14,18,17,51,14
AGXT,13,16,15,8,52,8
ABCD1,26,14,17,8,46,7
ALDOB,20,13,15,48,1204,26
AMPD1,24,11,11,10,54,9
APC,29,15,16,19,62,14
APOA1,26,17,15,13,70,8
APOC3,27,15,14,12,76,14
APOE,63,45,28,28,463,25
APOH,15,10,11,12,40,17
ARG1,31,19,13,10,55,13
ARSB,31,18,17,9,76,9
ASL,32,26,17,24,171,15
