genes,No_Template_Control_NA_NA_NA_NA,disease3_DKD_glomerulus_Geometric_Segment_7,disease3_DKD_glomerulus_Geometric_Segment_8,disease4_DKD_tubule_PanCK_1,normal3_normal_tubule_PanCK_1,normal4_normal_tubule_neg_3,disease1B_DKD_glomerulus_Geometric_Segment_14,normal2B_normal_glomerulus_Geometric_Segment_20,disease2B_DKD_glomerulus_WT1_1
A2M,0,1183.266466,983.5472936,87.92538229,91.19644978,306.7671963,684.3213641,325.7963416,102.5730307
NAT2,0,36.59587009,67.57195147,74.04242719,28.06044609,35.54010201,68.43213641,67.87423782,0
ACADM,0,75.63146486,56.30995956,92.55303399,213.9609014,151.5130665,34.2160682,54.29939026,0
ACADS,0,65.87256617,63.81795417,106.4359891,105.2266728,112.2319011,91.24284854,81.44908539,0
ACAT1,0,70.75201551,90.09593529,236.0102367,477.0275835,288.0618795,68.43213641,149.3233232,0
ACVRL1,0,126.865683,82.58794068,64.78712379,49.10578065,29.92850696,125.4589167,108.5987805,153.8595461
PSEN1,0,68.31229084,60.06395686,124.9465959,112.2417843,71.08020402,79.83749247,88.23650917,51.28651536
ADA,0,34.15614542,52.55596225,46.27651699,35.07555761,65.46860897,45.62142427,61.08681404,51.28651536
SGCA,0,68.31229084,78.83394338,64.78712379,84.18133826,95.39711593,136.8642728,67.87423782,51.28651536
ADRB2,0,65.87256617,71.32594877,50.90416869,52.61333641,67.33914065,22.81071214,40.72454269,0
ADRB3,0,41.47531944,48.80196495,32.3935619,24.55289033,48.63382381,22.81071214,27.14969513,51.28651536
AGL,0,41.47531944,52.55596225,78.67007889,84.18133826,50.50435549,45.62142427,54.29939026,153.8595461
AGXT,0,31.71642075,60.06395686,37.0212136,35.07555761,80.43286245,45.62142427,40.72454269,0
ABCD1,0,63.43284149,52.55596225,37.0212136,35.07555761,67.33914065,45.62142427,61.08681404,51.28651536
ALDOB,0,48.79449346,48.80196495,222.1272816,220.9760129,705.1904452,216.7017653,1187.799162,256.4325768
AMPD1,0,58.55339215,41.29397034,46.27651699,42.09066913,57.98648223,22.81071214,33.93711891,0
APC,0,70.75201551,56.30995956,87.92538229,42.09066913,46.76329212,57.02678034,74.66166161,0
APOA1,0,63.43284149,63.81795417,60.15947209,45.59822489,69.20967234,57.02678034,54.29939026,0
APOC3,0,65.87256617,56.30995956,55.53182039,42.09066913,61.7275456,79.83749247,101.8113567,0
APOE,0,153.7026544,168.9298787,129.5742476,80.6737825,183.3121051,34.2160682,190.0478659,0
APOH,0,36.59587009,37.53997304,55.53182039,24.55289033,28.05797527,22.81071214,40.72454269,0
ARG1,0,75.63146486,71.32594877,46.27651699,49.10578065,65.46860897,102.6482046,74.66166161,102.5730307
ARSB,0,75.63146486,67.57195147,41.6488653,63.1360037,57.98648223,45.62142427,54.29939026,0
ASL,0,78.07118953,97.6039299,111.0636408,112.2417843,101.008711,79.83749247,74.66166161,0
ASPA,0,53.6739428,71.32594877,32.3935619,91.19644978,69.20967234,45.62142427,20.36227135,0
ASS1,0,163.4615531,217.7318436,129.5742476,189.4080111,286.1913478,239.5124774,373.308308,51.28651536
ATM,0,100.0287116,93.8499326,64.78712379,101.7191171,80.43286245,125.4589167,61.08681404,102.5730307
ATP7A,0,53.6739428,71.32594877,32.3935619,42.09066913,46.76329212,68.43213641,40.72454269,51.28651536
ATP7B,0,48.79449346,67.57195147,50.90416869,42.09066913,67.33914065,79.83749247,47.51196648,0
AVPR2,0,41.47531944,33.78597573,46.27651699,98.2115613,46.76329212,34.2160682,40.72454269,51.28651536
BLM,0,65.87256617,48.80196495,27.7659102,24.55289033,57.98648223,79.83749247,40.72454269,51.28651536
BRCA2,0,58.55339215,37.53997304,60.15947209,59.62844793,84.17392582,57.02678034,74.66166161,51.28651536
BTD,0,63.43284149,67.57195147,41.6488653,63.1360037,76.69179908,68.43213641,47.51196648,0
BTK,0,46.35476878,45.04796765,37.0212136,56.12089217,57.98648223,79.83749247,61.08681404,0
SERPING1,0,483.0654852,431.7096899,745.0519236,434.9369143,353.5304884,547.4570913,787.3411587,307.7190922
C2,0,53.6739428,67.57195147,27.7659102,28.06044609,59.85701392,34.2160682,27.14969513,0
C3,0,114.6670596,101.3579272,83.29773059,35.07555761,129.0666863,433.4035306,407.2454269,0
C6,0,58.55339215,33.78597573,55.53182039,38.58311337,67.33914065,68.43213641,47.51196648,0
